shoe,price,links,date,source
UGG Tazz Slipper Chestnut (W),A$334,www.stockx.com/ugg-tazz-slipper-chestnut-w,17/10/2022,StockX
Crocs Classic Clog Lightning McQueen,A$219,www.stockx.com/crocs-classic-clog-lightning-mcqueen,17/10/2022,StockX
Crocs Pollex Clog by Salehe Bembury Tide,A$163,www.stockx.com/crocs-pollex-clog-by-salehe-bembury-tide,17/10/2022,StockX
Birkenstock Boston Soft Footbed Suede Taupe,A$258,www.stockx.com/birkenstock-boston-soft-footbed-suede-taupe,17/10/2022,StockX
"Timberland 6"" Premium Waterproof Boot Wheat",A$276,www.stockx.com/timberland-6-inch-premium-waterproof-wheat,17/10/2022,StockX
UGG Classic Ultra Mini Chestnut (W),A$193,www.stockx.com/ugg-classic-ultra-mini-chestnut-w,17/10/2022,StockX
Crocs Pollex Clog by Salehe Bembury Cobbler,A$189,www.stockx.com/crocs-pollex-clog-by-salehe-bembury-orange,17/10/2022,StockX
UGG Classic Ultra Mini Antilope (W),A$352,www.stockx.com/ugg-classic-ultra-mini-antilope-w,17/10/2022,StockX
UGG Tasman Slipper Chestnut (W),A$171,www.stockx.com/ugg-tasman-slipper-chestnut-w,17/10/2022,StockX
Crocs Pollex Clog by Salehe Bembury Sasquatch,A$258,www.stockx.com/crocs-pollex-clog-by-salehe-bembury-sasquatch,17/10/2022,StockX
"Timberland 6"" Black Nubuck Premium",A$280,www.stockx.com/timberland-6-black-nubuck,17/10/2022,StockX
UGG Classic Ultra Mini Platform Chestnut (W),A$408,www.stockx.com/ugg-classic-ultra-mini-platform-chestnut-w,17/10/2022,StockX
Crocs Classic Clog Honey Nut Cheerios,A$98,www.stockx.com/crocs-classic-clog-honey-nut-cheerios,17/10/2022,StockX
Crocs Classic Clog Trix,A$145,www.stockx.com/crocs-classic-clog-trix,17/10/2022,StockX
Crocs Pollex Clog by Salehe Bembury Stratus,A$323,www.stockx.com/crocs-pollex-clog-by-salehe-bembury-stratus,17/10/2022,StockX
Crocs Pollex Clog by Salehe Bembury Urchin,A$310,www.stockx.com/crocs-pollex-clog-by-salehe-bembury-urchin,17/10/2022,StockX
UGG Neumel Boot Black,A$194,www.stockx.com/ugg-neumel-boot-black,17/10/2022,StockX
Birkenstock Boston Soft Footbed Suede Latte Cream,A$330,www.stockx.com/birkenstock-boston-soft-footbed-suede-latte-cream,17/10/2022,StockX
Crocs Pollex Clog by Salehe Bembury Crocodile,A$213,www.stockx.com/crocs-pollex-clog-by-salehe-bembury-crocodile,17/10/2022,StockX
Crocs Classic All-Terrain Clog Staple Homing Pigeon,A$112,www.stockx.com/crocs-classic-all-terrain-clog-staple-homing-pigeon,17/10/2022,StockX
UGG Tazz Slipper Black (W),A$217,www.stockx.com/ugg-tazz-slipper-black-w,17/10/2022,StockX
Birkenstock Boston Soft Footbed Suede Faded Khaki,A$343,www.stockx.com/birkenstock-boston-soft-footbed-suede-faded-khaki,17/10/2022,StockX
Crocs All-Terrain Clog Carrots,A$129,www.stockx.com/crocs-all-terrain-clog-carrots,17/10/2022,StockX
UGG Neumel Boot Chestnut,A$166,www.stockx.com/ugg-neumel-boot-chestnut,17/10/2022,StockX
Crocs Classic All-Terrain Clog Steven Harrington Quickstrike,A$352,www.stockx.com/crocs-classic-all-terrain-clog-steven-harrington-quickstrike,17/10/2022,StockX
UGG Tasman Slipper Black (W),A$173,www.stockx.com/ugg-tasman-slipper-black-w,17/10/2022,StockX
Crocs Echo Clog Desert Grass,A$113,www.stockx.com/crocs-echo-clog-desert-grass,17/10/2022,StockX
Crocs Classic Clog Bieber with drew house,A$108,www.stockx.com/crocs-classic-clog-justin-bieber,17/10/2022,StockX
Crocs Classic Clog Wu-Tang Clan Black,A$84,www.stockx.com/crocs-classic-clog-wu-tang-clan-black,17/10/2022,StockX
Crocs Mega Crush Clog 7-Eleven Orange,A$179,www.stockx.com/crocs-mega-crush-clog-7-eleven-orange,17/10/2022,StockX
Timberland 6'' Premium Wheat Nubuck,A$247,www.stockx.com/timberland-6-premium-wheat-nubuck,17/10/2022,StockX
Timberland 40 Below Superboot Hazel Highway,A$673,www.stockx.com/timberland-40-below-superboot-brown,17/10/2022,StockX
Crocs Classic Bae Clog White (W),A$76,www.stockx.com/crocs-classic-bae-clog-white-w,17/10/2022,StockX
Nike MMW 005 Slide Light Bone,A$239,www.stockx.com/nike-mmw-005-slide-bone,17/10/2022,StockX
Crocs Classic Clog Staple Sidewalk Luxe,A$126,www.stockx.com/crocs-classic-clog-staple-sidewalk-luxe,17/10/2022,StockX
Crocs Classic All-Terrain Clog Space Jam,A$90,www.stockx.com/crocs-classic-all-terrain-clog-space-jam,17/10/2022,StockX
Crocs Classic Clog Lisa Frank,A$110,www.stockx.com/crocs-classic-clog-lisa-frank,17/10/2022,StockX
Crocs Classic Bae Clog Black (W),A$90,www.stockx.com/crocs-classic-bae-clog-black-w,17/10/2022,StockX
Crocs Classic Clog Sweethearts,A$116,www.stockx.com/crocs-classic-clog-sweethearts,17/10/2022,StockX
UGG Classic Clear Mini Boot Natural Black (W),A$199,www.stockx.com/ugg-classic-clear-mini-boot-natural-black-w,17/10/2022,StockX
